start time, request type, latency, response code
2023-02-04 17:01:05, POST, 389, 200, 
2023-02-04 17:01:05, POST, 388, 200, 
2023-02-04 17:01:05, POST, 387, 200, 
2023-02-04 17:01:05, POST, 387, 200, 
2023-02-04 17:01:05, POST, 387, 200, 
2023-02-04 17:01:05, POST, 388, 200, 
2023-02-04 17:01:05, POST, 388, 200, 
2023-02-04 17:01:05, POST, 388, 200, 
2023-02-04 17:01:05, POST, 468, 200, 
2023-02-04 17:01:05, POST, 467, 200, 
2023-02-04 17:01:05, POST, 473, 200, 
2023-02-04 17:01:05, POST, 473, 200, 
2023-02-04 17:01:05, POST, 473, 200, 
2023-02-04 17:01:05, POST, 470, 200, 
2023-02-04 17:01:05, POST, 470, 200, 
2023-02-04 17:01:05, POST, 474, 200, 
2023-02-04 17:01:05, POST, 473, 200, 
2023-02-04 17:01:05, POST, 468, 200, 
2023-02-04 17:01:05, POST, 471, 200, 
2023-02-04 17:01:05, POST, 468, 200, 
2023-02-04 17:01:05, POST, 470, 200, 
2023-02-04 17:01:05, POST, 470, 200, 
2023-02-04 17:01:05, POST, 468, 200, 
2023-02-04 17:01:05, POST, 468, 200, 
2023-02-04 17:01:05, POST, 470, 200, 
2023-02-04 17:01:05, POST, 475, 200, 
2023-02-04 17:01:05, POST, 472, 200, 
2023-02-04 17:01:05, POST, 472, 200, 
2023-02-04 17:01:05, POST, 471, 200, 
2023-02-04 17:01:05, POST, 471, 200, 
2023-02-04 17:01:05, POST, 472, 200, 
2023-02-04 17:01:05, POST, 472, 200, 
2023-02-04 17:01:05, POST, 472, 200, 
2023-02-04 17:01:05, POST, 473, 200, 
2023-02-04 17:01:05, POST, 472, 200, 
2023-02-04 17:01:05, POST, 472, 200, 
2023-02-04 17:01:05, POST, 474, 200, 
2023-02-04 17:01:05, POST, 96, 200, 
2023-02-04 17:01:05, POST, 97, 200, 
2023-02-04 17:01:05, POST, 473, 200, 
2023-02-04 17:01:05, POST, 96, 200, 
2023-02-04 17:01:05, POST, 472, 200, 
2023-02-04 17:01:05, POST, 97, 200, 
2023-02-04 17:01:05, POST, 472, 200, 
2023-02-04 17:01:05, POST, 472, 200, 
2023-02-04 17:01:05, POST, 473, 200, 
2023-02-04 17:01:05, POST, 98, 200, 
2023-02-04 17:01:05, POST, 480, 200, 
2023-02-04 17:01:05, POST, 479, 200, 
2023-02-04 17:01:05, POST, 480, 200, 
2023-02-04 17:01:05, POST, 480, 200, 
2023-02-04 17:01:05, POST, 480, 200, 
2023-02-04 17:01:05, POST, 479, 200, 
2023-02-04 17:01:05, POST, 479, 200, 
2023-02-04 17:01:05, POST, 479, 200, 
2023-02-04 17:01:05, POST, 479, 200, 
2023-02-04 17:01:05, POST, 479, 200, 
2023-02-04 17:01:05, POST, 480, 200, 
2023-02-04 17:01:05, POST, 484, 200, 
2023-02-04 17:01:05, POST, 480, 200, 
2023-02-04 17:01:05, POST, 481, 200, 
2023-02-04 17:01:05, POST, 480, 200, 
2023-02-04 17:01:05, POST, 480, 200, 
2023-02-04 17:01:05, POST, 480, 200, 
2023-02-04 17:01:05, POST, 480, 200, 
2023-02-04 17:01:05, POST, 480, 200, 
2023-02-04 17:01:05, POST, 481, 200, 
2023-02-04 17:01:05, POST, 481, 200, 
2023-02-04 17:01:05, POST, 483, 200, 
2023-02-04 17:01:05, POST, 483, 200, 
2023-02-04 17:01:05, POST, 483, 200, 
2023-02-04 17:01:05, POST, 482, 200, 
2023-02-04 17:01:05, POST, 483, 200, 
2023-02-04 17:01:05, POST, 109, 200, 
2023-02-04 17:01:05, POST, 108, 200, 
2023-02-04 17:01:05, POST, 109, 200, 
2023-02-04 17:01:05, POST, 108, 200, 
2023-02-04 17:01:05, POST, 108, 200, 
2023-02-04 17:01:05, POST, 108, 200, 
2023-02-04 17:01:05, POST, 107, 200, 
2023-02-04 17:01:05, POST, 108, 200, 
2023-02-04 17:01:05, POST, 107, 200, 
2023-02-04 17:01:05, POST, 107, 200, 
2023-02-04 17:01:05, POST, 107, 200, 
2023-02-04 17:01:05, POST, 106, 200, 
2023-02-04 17:01:05, POST, 108, 200, 
2023-02-04 17:01:05, POST, 106, 200, 
2023-02-04 17:01:05, POST, 106, 200, 
2023-02-04 17:01:05, POST, 107, 200, 
2023-02-04 17:01:05, POST, 107, 200, 
2023-02-04 17:01:05, POST, 107, 200, 
2023-02-04 17:01:05, POST, 107, 200, 
2023-02-04 17:01:05, POST, 107, 200, 
2023-02-04 17:01:05, POST, 37, 200, 
2023-02-04 17:01:05, POST, 37, 200, 
2023-02-04 17:01:05, POST, 31, 200, 
